,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2018-05-08,41.5,43.6799,40.5,43.22,821183.0,191.3039,190.4679,183.4781,41.5352,,,
2018-05-09,44.44,44.87,43.245,44.1,1178122.0,192.3441,191.1873,183.6231,42.2763,,,
2018-05-10,44.88,46.699,43.66,44.01,1467879.0,193.453,192.0025,183.7826,43.2591,,,
2018-05-11,44.56,45.8895,44.01,44.37,762193.0,194.3656,192.764,183.947,43.8436,,,
2018-05-14,44.99,45.7265,43.37,44.19,1032010.0,194.7091,193.2426,184.0986,44.2621,,,
2018-05-15,44.39,45.73,43.495,45.46,423001.0,194.8825,193.6038,184.246,44.5883,,,
2018-05-16,45.34,45.65,44.56,45.23,299008.0,195.7013,194.2829,184.4195,44.8242,,,
2018-05-17,45.2,46.4,44.55,44.9,339527.0,196.4697,194.9599,184.5994,45.1744,,,
2018-05-18,44.75,45.0,44.36,44.78,350812.0,197.1455,195.603,184.7835,45.1356,,,
2018-05-21,45.5,45.5,41.72,42.98,804373.0,197.861,196.2738,184.9757,45.2166,,,
2018-05-22,43.24,44.72,42.851,43.05,1062700.0,197.6772,196.4621,185.139,45.1062,,,
2018-05-23,43.64,45.62,43.1,45.42,1125441.0,197.6659,196.6769,185.3046,45.2204,,,
2018-05-24,45.94,47.7,45.2962,46.8,1011734.0,197.7369,196.8954,185.4712,45.7714,,,
2018-05-25,47.23,48.9,46.1071,46.37,678083.0,197.7384,197.0492,185.6337,46.4667,44.3184,,
2018-05-29,46.67,49.33,45.855,48.43,931091.0,197.6904,197.1483,185.7921,47.103,44.774,,
2018-05-30,48.9,51.0,48.56,49.99,830985.0,198.656,197.7736,185.9881,47.969,45.34,,
2018-05-31,50.13,51.2009,49.53,49.81,867073.0,198.8026,198.014,186.1617,48.6872,45.8728,,
2018-06-01,50.28,50.74,49.76,50.12,564739.0,199.5185,198.5479,186.3576,49.1434,46.3153,,
2018-06-04,51.0,54.15,50.54,53.65,1121220.0,200.2216,199.1078,186.5598,50.2559,47.0275,,
2018-06-05,54.29,58.28,52.0,54.59,2463590.0,201.2234,199.8568,186.7806,52.0391,48.0505,,
2018-06-06,55.63,57.38,54.36,57.36,989487.0,202.454,200.7765,187.0208,53.2259,48.8986,,
2018-06-07,58.95,59.86,53.5,55.99,3617122.0,202.5874,201.1543,187.2305,54.7002,49.8951,,
2018-06-08,58.25,60.45,55.31,57.92,7147612.0,203.0624,201.6739,187.4528,55.9779,50.8547,,
2018-06-11,58.3,60.0,58.2,59.54,2131421.0,203.6178,202.2293,187.6816,56.8717,51.686,,
2018-06-12,60.49,63.35,60.0,61.82,2408591.0,204.5998,203.0174,187.9317,58.3113,52.7464,,
2018-06-13,63.28,64.97,62.0,63.77,2126685.0,205.1203,203.589,188.1731,59.791,53.8576,,
2018-06-14,64.99,65.8159,63.1,63.53,1932240.0,205.9875,204.3404,188.4321,61.1299,54.9448,,
2018-06-15,63.09,64.58,62.3,63.95,3584226.0,206.6179,204.9838,188.6896,61.8966,55.8207,,
2018-06-18,63.51,66.191,61.6452,63.9,1557289.0,207.3588,205.685,188.9565,62.8509,56.7634,,
2018-06-19,62.14,64.7,57.6,63.87,3791386.0,207.7611,206.2088,189.2163,63.2618,57.4849,,
2018-06-20,64.67,66.8,62.03,62.46,2381465.0,208.6279,206.9638,189.4963,64.0481,58.3318,,
2018-06-21,63.06,63.19,57.47,57.59,3209053.0,208.3586,207.1195,189.739,63.8574,58.7734,,
2018-06-22,58.9,58.99,55.0,57.55,4039279.0,207.6458,206.956,189.9573,62.7757,58.7931,,
2018-06-25,55.58,55.6552,52.05,55.0,2847085.0,205.7379,206.0407,190.1158,61.1934,58.5079,,
2018-06-26,55.49,56.9689,54.9,56.47,1601609.0,205.0155,205.5916,190.294,60.2546,58.3679,,
2018-06-27,56.95,57.2,51.74,51.77,2266959.0,203.16,204.4748,190.4153,59.5758,58.2618,,
2018-06-28,51.62,54.0,50.3435,53.04,2311962.0,202.2697,203.7501,190.5487,58.3367,57.8743,,
2018-06-29,53.67,54.0,51.8305,52.95,1636890.0,201.686,203.1626,190.6807,57.373,57.5221,,
2018-07-02,52.46,53.16,50.5,52.34,1933451.0,201.9446,203.0352,190.8368,56.4368,57.1256,,
2018-07-03,52.46,53.5,51.85,51.97,721656.0,202.3215,203.0424,190.9989,55.7842,56.796,,
2018-07-05,52.49,55.39,51.5934,54.62,2171958.0,203.4114,203.5059,191.1922,55.6966,56.6682,,
