1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2021-01-20,3181.99,3279.8,3175.0,3263.38,5309835.0,310.5865,305.9665,247.2052,3196.7353,3207.0231,3202.8323,2991.1777
2021-01-19,3107.0,3145.0,3096.0,3120.76,3305142.0,308.6048,304.0591,246.3013,3173.0025,3199.7454,3204.5723,2984.4103
2021-01-15,3123.02,3142.545,3095.17,3104.25,4243995.0,306.3321,302.0388,245.404,3181.0033,3205.22,3206.5693,2978.323
2021-01-14,3167.52,3177.9999,3120.59,3127.47,3070919.0,305.9232,300.903,244.5752,3191.9913,3211.4875,3205.2164,2972.3351
2021-01-13,3128.44,3189.95,3122.08,3165.89,3321244.0,302.9948,298.4859,243.6731,3195.9889,3214.8362,3203.2505,2966.4102
2021-01-12,3120.0,3142.1418,3086.0,3120.83,3418549.0,301.5422,296.8384,242.8378,3197.7143,3217.3249,3202.7915,2960.3286
2021-01-11,3148.01,3156.3841,3110.0,3114.21,3669095.0,298.6433,294.5047,241.972,3213.5922,3224.8432,3205.0937,2954.3168
2021-01-08,3180.0,3190.64,3142.2,3182.7,3537744.0,296.6349,292.6924,241.1574,3229.9373,3231.6891,3207.2464,2948.3173
2021-01-07,3157.0,3208.542,3155.0,3162.16,3514545.0,293.1874,290.284,240.3202,3241.1651,3235.794,3209.2668,2942.1154
2021-01-06,3146.48,3197.509,3131.16,3138.38,4394815.0,288.8511,287.7115,239.4942,3250.486,3238.5192,3210.7556,2935.8477
2021-01-05,3166.01,3223.38,3165.06,3218.51,2655548.0,286.1817,286.2719,238.76,3265.6223,3242.6202,3210.912,2929.4572
2021-01-04,3270.0,3272.0,3144.02,3186.63,4411449.0,286.2925,286.3412,238.1264,3277.6916,3244.5442,3210.4194,2923.1253
2020-12-31,3275.0,3282.9219,3241.2,3256.93,2957206.0,288.1888,287.1948,237.5308,3279.3177,3241.7987,3209.6569,2916.4903
2020-12-30,3341.0,3342.1,3282.47,3285.85,3209310.0,288.9332,287.3047,236.8708,3278.288,3237.6863,3209.3185,2909.284
2020-12-29,3309.94,3350.65,3281.223,3322.0,4872933.0,289.3548,287.1302,236.1833,3260.0559,3227.245,3209.0565,2901.8624
