,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2021-01-21,228.0,228.5,219.81,221.0,3175741.0,311.061,307.0653,248.0636,228.289,218.731,185.8278,128.4715
2021-01-20,227.0,228.57,222.2,226.33,2128758.0,310.5865,305.9665,247.2052,228.2287,217.7541,184.1436,127.6316
2021-01-19,224.0,224.66,217.51,221.92,3662919.0,308.6048,304.0591,246.3013,228.1312,216.6725,182.4042,126.785
2021-01-15,228.08,230.05,218.75,219.51,3654913.0,306.3321,302.0388,245.404,229.1229,215.8737,180.6536,125.9463
2021-01-14,228.65,231.9,222.76,225.62,3101836.0,305.9232,300.903,244.5752,228.8581,214.4561,178.602,125.0788
2021-01-13,236.5,236.55,225.6,226.42,3553954.0,302.9948,298.4859,243.6731,227.9889,212.7117,176.4992,124.2195
2021-01-12,233.405,238.54,233.0,233.59,3377584.0,301.5422,296.8384,242.8378,225.5429,210.3279,174.2946,123.3359
2021-01-11,223.65,234.63,218.0,232.24,5128680.0,298.6433,294.5047,241.972,221.8295,207.5066,172.1778,122.4425
2021-01-08,225.83,228.82,220.11,223.73,3537355.0,296.6349,292.6924,241.1574,218.1722,204.7943,170.1416,121.5649
2021-01-07,213.025,222.1,213.025,221.47,4194579.0,293.1874,290.284,240.3202,215.13,202.3917,168.2877,120.7183
2021-01-06,204.0,214.695,203.0,208.85,4703889.0,288.8511,287.7115,239.4942,213.1385,200.4209,166.6147,119.901
2021-01-05,200.245,211.97,197.75,211.24,5072240.0,286.1817,286.2719,238.76,212.6938,198.9935,165.0316,119.0926
2021-01-04,209.96,211.44,195.985,200.49,6281340.0,286.2925,286.3412,238.1264,212.9006,197.6959,163.5658,118.2926
2020-12-31,211.47,214.25,208.1,211.82,2597782.0,288.1888,287.1948,237.5308,213.318,196.3214,162.2104,117.4578
2020-12-30,207.77,210.9893,205.24,210.29,2550811.0,288.9332,287.3047,236.8708,213.0517,194.5286,160.8552,116.5939
2020-12-29,210.6,213.5,202.78,205.93,8153413.0,289.3548,287.1302,236.1833,213.6409,192.8825,159.6273,115.7305
2020-12-28,225.0886,227.0934,212.0159,212.55,4564526.0,291.6021,287.6347,235.5299,213.6812,190.8208,158.3349,114.843
2020-12-24,223.5,227.3599,219.2822,221.12,2407244.0,291.6882,286.7913,234.7796,209.8491,187.1935,156.708,113.9079
2020-12-23,225.63,227.2624,216.21,223.5,5039762.0,290.3673,285.1161,233.9803,204.846,183.1769,155.2388,112.9721
2020-12-22,213.015,225.75,211.55,224.9,8308401.0,288.1209,282.9508,233.1631,198.4413,178.7683,153.7661,112.0673
2020-12-21,202.24,211.6094,201.8,210.65,8917236.0,285.1964,280.502,232.3469,190.6388,174.0701,152.2461,111.1809
2020-12-18,193.7,205.91,193.7,203.75,15264153.0,283.3896,278.6558,231.589,184.6473,170.3162,150.9266,110.3673
2020-12-17,182.14,186.9,180.79,185.25,3899642.0,281.3644,276.7038,230.8393,178.5722,166.7568,149.7376,109.6121
2020-12-16,177.05,182.21,176.55,179.79,4415568.0,278.6116,274.4446,230.0872,176.1928,164.7425,148.9764,108.9648
2020-12-15,175.4034,176.5,172.4,174.93,2753722.0,276.8173,272.7212,229.3877,174.4736,162.9958,148.3056,108.3441
2020-12-14,176.8115,179.5131,172.88,173.8,3276771.0,273.901,270.5148,228.6728,173.8946,161.6454,147.7412,107.7653
2020-12-11,177.17,178.88,171.38,175.92,5328746.0,272.5815,269.1759,228.0303,172.2894,159.8586,147.0609,107.1726
2020-12-10,165.35,181.8,164.15,179.99,9464406.0,271.6995,268.0271,227.4086,170.4063,157.9564,146.3985,106.5783
2020-12-09,175.44,177.7,162.89,166.17,6358401.0,269.9021,266.4121,226.7659,167.151,155.5721,145.5429,105.9665
2020-12-08,171.29,178.88,170.8,177.48,4596063.0,269.2487,265.3462,226.1693,164.137,153.3593,144.756,105.3793
2020-12-07,168.0,172.69,166.1001,170.72,5153392.0,266.4407,263.2309,225.5157,159.9247,150.8072,144.0118,104.7839
2020-12-04,160.36,168.97,157.59,167.26,7645949.0,264.5859,261.6933,224.9166,156.2775,148.6189,143.33,104.2167
