reportedDate,surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2018-09-05,0.0226,305.4054,0.03,0.0074,
2018-12-06,-0.2994,-1931.6129,-0.3149,-0.0155,
2019-03-14,0.0548,1053.8462,0.06,0.0052,
2019-06-06,0.0249,55.2106,0.07,0.0451,
2019-09-05,-0.0276,-73.4043,0.01,0.0376,
2019-12-05,0.0731,198.10299999999998,0.11,0.0369,
2020-03-12,0.0659,121.8115,0.12,0.0541,0.31
2020-06-04,0.0187,18.46,0.12,0.1013,
2020-09-03,0.0922,118.509,0.17,0.0778,
2020-12-03,0.0853,63.3259,0.22,0.1347,0.51
