reportedDate,surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2002-08-19,0.02,66.6667,0.05,0.03,
2002-11-18,0.01,14.2857,0.08,0.07,
2003-03-19,0.0,0.0,0.26,0.26,0.39
2003-08-18,0.01,20.0,0.06,0.05,
2003-11-19,0.0,0.0,0.09,0.09,
2004-03-17,0.0,0.0,0.34,0.34,0.49
2004-08-17,0.01,16.6667,0.07,0.06,
2004-11-15,0.0,0.0,0.12,0.12,
2005-03-23,0.0,0.0,0.35,0.35,0.54
2005-08-18,-0.01,-12.5,0.07,0.08,
2005-11-29,0.01,14.2857,0.08,0.07,
2006-03-21,0.01,1.8519,0.55,0.54,0.7
2006-08-17,0.0,0.0,0.03,0.03,
2006-11-21,0.0,0.0,0.11,0.11,
2007-03-27,0.02,2.5,0.82,0.8,0.96
2007-08-23,0.05,55.5556,0.14,0.09,
2007-11-20,0.1,43.4783,0.33,0.23,
2008-03-18,0.02,1.7857,1.14,1.12,1.61
2008-08-21,0.06,21.4286,0.34,0.28,
2008-11-20,-0.03,-8.1081,0.34,0.37,
2009-03-26,0.0,0.0,1.34,1.34,2.02
2009-08-20,-0.05,-17.8571,0.23,0.28,
2009-11-19,0.02,6.6667,0.32,0.3,
2010-03-18,0.02,1.5748,1.29,1.27,1.84
2010-08-19,-0.01,-3.7037,0.26,0.27,
2010-11-18,0.01,2.7027,0.38,0.37,
2011-03-24,0.01,0.6452,1.56,1.55,2.2
2011-08-18,0.01,4.7619,0.22,0.21,
2011-11-17,0.0,0.0,0.39,0.39,
2012-03-22,0.0,0.0,1.73,1.73,2.34
2012-08-16,0.01,6.6667,0.16,0.15,
2012-11-15,0.06,18.75,0.38,0.32,
2013-03-28,0.07,3.3493,2.16,2.09,2.7
2013-08-22,-0.06,-40.0,0.09,0.15,
2013-11-21,0.01,1.7544,0.58,0.57,
2014-03-27,-0.02,-1.0417,1.9,1.92,2.57
2014-08-21,0.18,450.0,0.22,0.04,
2014-11-20,-0.04,-6.5574,0.57,0.61,
2015-03-26,-1.49,-68.6636,0.68,2.17,1.47
2015-08-27,0.13,72.2222,0.31,0.18,
2015-11-23,1.79,293.4426,2.4,0.61,
2016-05-26,0.0529,8.7136,0.66,0.6071,3.37
2016-08-25,-0.0047,-1.7109999999999999,0.27,0.2747,
2016-11-22,0.0209,4.4553,0.49,0.4691,
2017-05-25,0.1245,24.6291,0.63,0.5055,1.39
2017-08-24,-0.0108,-6.7164,0.15,0.1608,
2017-11-21,0.107,24.7113,0.54,0.433,
2018-05-31,0.013000000000000001,3.5422,0.38,0.36700000000000005,1.07
2018-06-01,,,0.2765,,
2018-11-29,0.107,19.0053,0.67,0.563,
2018-11-30,,,-4.7808,,
2019-04-02,0.021,1.33,1.6,1.579,-2.2343
2019-06-04,0.0984,346.4789,0.07,-0.0284,
2019-09-10,-0.1047,-48.6298,-0.32,-0.2153,
2019-12-10,-0.6616,-385.5478,-0.49,0.1716,
2020-03-26,0.4831,61.3928,1.27,0.7869,0.53
2020-06-09,0.0783,4.6378,-1.61,-1.6883,
2020-09-09,-0.265,-23.348000000000003,-1.4,-1.135,
2020-12-08,0.3188,37.5589,-0.53,-0.8488,-3.54
