,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2002-02-25,19.3,19.65,19.08,19.5,431700.0,45.6727,46.026,48.5424,6.6956,,,
2002-02-26,19.4,19.7,19.09,19.5,345200.0,45.8777,46.0736,48.5125,6.6782,,,
2002-02-27,19.35,19.36,19.0,19.15,511400.0,46.0143,46.1125,48.483,6.6393,,,
2002-02-28,19.2,19.45,19.1,19.1,343900.0,45.8716,46.0168,48.4447,6.6158,,,
2002-03-01,19.05,19.55,18.98,19.37,239200.0,46.1564,46.1457,48.4219,6.605,,,
2002-03-04,19.45,19.81,19.42,19.7,397600.0,46.8722,46.5381,48.4204,6.616,,,
2002-03-05,19.6,19.65,19.16,19.25,430600.0,47.2326,46.7954,48.4142,6.6126,,,
2002-03-06,19.24,19.43,19.2,19.35,164600.0,47.692,47.1255,48.4168,6.5935,,,
2002-03-07,19.35,20.6,19.35,20.42,337600.0,48.0801,47.4402,48.4226,6.666,,,
2002-03-08,20.3,21.0,20.3,20.9,200100.0,48.4642,47.7661,48.4333,6.7523,,,
2002-03-11,20.8,21.4,20.75,21.17,682800.0,48.8519,48.1044,48.4491,6.8492,,,
2002-03-12,21.9,21.9,21.0,21.2,727400.0,49.0021,48.3223,48.4604,6.9619,,,
2002-03-13,21.2,21.5,20.65,21.02,632900.0,48.889,48.3842,48.4631,7.0197,,,
2002-03-14,21.2,21.2,20.84,21.0,212100.0,48.8866,48.4747,48.4687,7.0423,6.7824,,
2002-03-15,21.0,21.1,19.9,20.35,213500.0,48.8266,48.5168,48.4718,7.0524,6.8101,,
2002-03-18,20.4,20.4,19.05,19.3,275900.0,49.0057,48.6709,48.4836,7.008,6.814,,
2002-03-19,19.45,19.5,18.6,18.7,403700.0,49.2859,48.8846,48.5017,6.9063,6.79,,
2002-03-20,18.55,18.55,17.0,18.02,1154500.0,49.2243,48.9239,48.5096,6.7563,6.7392,,
2002-03-21,19.25,19.25,18.02,18.75,553400.0,49.4463,49.0996,48.5279,6.6918,6.7144,,
2002-03-22,18.75,19.59,18.51,19.3,311800.0,49.4481,49.1636,48.5401,6.6671,6.7022,,
2002-03-25,19.5,19.81,19.18,19.72,946400.0,49.1454,49.0502,48.5401,6.6643,6.6979,,
2002-03-26,20.0,20.1,19.78,19.98,227100.0,49.0867,49.0356,48.5458,6.6837,6.7028,,
2002-03-27,21.0,21.0,19.9,20.6,171200.0,49.1938,49.1033,48.5572,6.766,6.7347,,
2002-03-28,20.5,20.6,20.1,20.2,214300.0,49.3119,49.1842,48.5704,6.8002,6.7516,,
2002-04-01,20.05,20.05,19.0,19.05,235000.0,49.3878,49.2488,48.5832,6.7857,6.75,,
2002-04-02,19.0,19.0,18.35,18.64,262300.0,49.2922,49.2219,48.5901,6.6961,6.7166,,
2002-04-03,18.65,18.8,18.44,18.6,70900.0,49.0531,49.1043,48.5899,6.6114,6.6801,,
2002-04-04,18.55,19.05,18.55,18.95,95400.0,48.923,49.024,48.5908,6.5642,6.6546,,
2002-04-05,18.95,19.4,18.49,18.49,104700.0,48.6901,48.8786,48.586,6.5537,6.642,,
2002-04-08,18.6,18.6,17.77,18.3,194800.0,48.7218,48.8616,48.5886,6.4857,6.6062,,
2002-04-09,18.2,19.2,18.2,18.95,445300.0,48.6466,48.7952,48.5874,6.4777,6.592,,
2002-04-10,18.9,19.05,18.75,18.92,162800.0,48.8653,48.8874,48.5969,6.4602,6.5744,,
2002-04-11,18.91,18.91,18.5,18.5,180500.0,48.7305,48.8099,48.5951,6.4362,6.5542,,
2002-04-12,18.65,18.65,18.06,18.25,154500.0,48.9563,48.9186,48.6058,6.3981,6.5279,,
2002-04-15,18.2,18.57,18.19,18.56,194900.0,49.0484,48.9757,48.6141,6.3625,6.5015,,
2002-04-16,18.75,19.2,18.75,19.0,153200.0,49.5482,49.2615,48.6397,6.3818,6.4968,,
2002-04-17,19.25,20.25,19.25,19.81,418600.0,49.7791,49.4396,48.6609,6.4752,6.5246,,
2002-04-18,19.81,20.15,19.74,19.81,123100.0,49.8746,49.5534,48.6795,6.5404,6.5468,,
2002-04-19,19.81,20.35,19.81,20.27,80800.0,49.9382,49.6465,48.6979,6.6061,6.573,,
2002-04-22,20.15,20.15,19.81,20.0,96600.0,49.6153,49.5234,48.7015,6.6422,6.5908,,
2002-04-23,19.95,20.25,19.5,19.55,103100.0,49.476,49.4642,48.7081,6.6778,6.61,,
2002-04-24,19.52,19.61,19.4,19.41,133100.0,49.2721,49.3551,48.7101,6.6576,6.608,,
2002-04-25,19.41,19.41,19.17,19.4,215900.0,49.0953,49.2435,48.7106,6.6271,6.6,6.6682,
2002-04-26,19.3,19.58,19.25,19.25,206700.0,48.6763,48.9881,48.699,6.616,6.5979,6.6646,
2002-04-29,19.15,19.15,18.8,18.9,320300.0,48.2626,48.7057,48.6823,6.5752,6.5829,6.6563,
2002-04-30,18.75,19.3,18.7,19.05,861800.0,48.3375,48.666,48.6797,6.5548,6.5738,6.6513,
2002-05-01,19.3,20.5,19.3,20.5,209000.0,48.3903,48.6351,48.6773,6.6284,6.6022,6.656,
2002-05-02,20.4,20.99,20.4,20.83,414500.0,48.4665,48.6321,48.6765,6.7223,6.643,6.6643,
2002-05-03,20.8,20.81,20.56,20.8,57900.0,48.4471,48.5915,48.6729,6.7818,6.6746,6.6707,
2002-05-06,20.79,22.59,20.79,21.75,268300.0,47.952,48.2951,48.6503,6.961,6.7576,6.6891,
2002-05-07,21.65,22.0,21.45,21.5,56600.0,47.502,47.9873,48.6231,7.0564,6.8151,6.7049,
2002-05-08,21.7,22.5,21.7,22.4,82300.0,47.7428,48.0304,48.6179,7.1679,6.8827,6.7237,
2002-05-09,22.5,23.2,22.5,22.85,105900.0,47.6081,47.9046,48.6009,7.3068,6.9654,6.7495,
2002-05-10,23.0,23.43,22.0,22.06,87000.0,47.2143,47.6359,48.5721,7.4321,7.0477,6.7763,
2002-05-13,22.07,22.07,20.85,21.5,241200.0,47.1739,47.5372,48.5525,7.4279,7.081,6.7932,
2002-05-14,22.0,22.4,20.8,20.8,494800.0,47.6702,47.7419,48.554,7.4494,7.1213,6.8106,
2002-05-15,20.7,21.0,19.85,19.85,728700.0,48.0448,47.9332,48.5572,7.3616,7.1152,6.8197,
2002-05-16,19.85,20.7,19.85,20.6,660800.0,48.1163,47.9925,48.5532,7.2708,7.1005,6.8282,
2002-05-17,20.75,21.5,20.75,21.23,543900.0,48.2254,48.0745,48.5518,7.26,7.1115,6.8343,
2002-05-20,21.23,21.5,21.1,21.38,292000.0,48.0935,48.03,48.5422,7.2516,7.1216,6.8376,
2002-05-21,22.6,22.65,20.45,20.5,484000.0,47.6636,47.807,48.5192,7.3309,7.1658,6.846,
2002-05-22,20.46,21.5,20.3,21.25,230900.0,47.3098,47.588,48.4938,7.3067,7.1709,6.8433,
2002-05-23,21.25,22.7,21.25,22.41,269700.0,47.3808,47.5761,48.4809,7.3775,7.2122,6.8514,
2002-05-24,22.34,23.7,22.34,23.46,276500.0,47.1242,47.4006,48.4562,7.5072,7.2803,6.8682,
2002-05-28,23.55,24.29,23.3,24.21,260300.0,46.918,47.2379,48.4303,7.6521,7.3602,6.8896,
2002-05-29,24.21,24.21,23.5,23.6,591000.0,46.4445,46.9214,48.3915,7.7588,7.4304,6.9152,
2002-05-30,23.6,23.6,23.15,23.26,492700.0,46.1609,46.6801,48.3544,7.7963,7.4756,6.9428,
2002-05-31,23.26,24.3,23.26,24.19,338500.0,45.9134,46.4507,48.3155,7.8777,7.5381,6.9814,
2002-06-03,24.19,24.19,23.14,23.25,227200.0,45.2984,46.0175,48.2593,7.9328,7.5915,7.0146,
2002-06-04,23.21,23.9,22.9,23.43,241700.0,44.9146,45.6774,48.2048,7.954,7.6312,7.0435,
2002-06-05,23.5,23.68,23.11,23.25,219000.0,44.6997,45.4215,48.1527,7.9541,7.6606,7.0695,
2002-06-06,23.25,23.65,23.19,23.25,175400.0,44.1648,44.9985,48.0857,7.9519,7.6864,7.0934,
2002-06-07,23.0,23.24,22.56,22.95,219000.0,43.9426,44.7257,48.0249,7.9196,7.6973,7.1084,
2002-06-10,22.95,23.3,22.3,22.5,106800.0,43.8208,44.5169,47.966,7.899,7.7091,7.1266,
2002-06-11,22.62,22.75,22.52,22.75,40400.0,43.4678,44.1978,47.8971,7.8419,7.703,7.1447,
2002-06-12,22.51,22.52,21.82,22.4,66500.0,43.1827,43.9096,47.8271,7.7803,7.6904,7.1684,
2002-06-13,22.4,23.1,22.1,22.96,162200.0,42.718,43.5239,47.7471,7.7757,7.6967,7.1972,
2002-06-14,22.94,22.94,21.35,22.51,89800.0,42.5162,43.2673,47.6725,7.7602,7.6975,7.2234,
2002-06-17,22.6,23.45,22.6,23.02,117100.0,42.8057,43.2887,47.6157,7.7862,7.7138,7.2506,
2002-06-18,23.02,23.15,22.3,22.52,32500.0,43.1011,43.362,47.5637,7.784,7.7195,7.2812,
2002-06-19,22.5,23.15,22.5,23.0,113200.0,42.8739,43.1906,47.4956,7.7823,7.7247,7.3077,
2002-06-20,22.86,22.86,21.79,21.9,63700.0,42.6201,42.9946,47.4243,7.7593,7.7205,7.3333,
2002-06-21,21.75,21.75,20.9,21.0,127000.0,42.3047,42.7545,47.3481,7.6586,7.6829,7.3524,
2002-06-24,21.0,21.0,19.9,20.52,136600.0,42.1061,42.5644,47.2734,7.5243,7.6257,7.3682,
