surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2020-10-27,0.27399999999999997,17.7232,1.82,1.546,
2020-07-22,0.08800000000000001,6.414,1.46,1.3719999999999999,5.75
2020-04-29,0.1312,10.3405,1.4,1.2688,
2020-01-29,0.185,13.9623,1.51,1.325,
2019-10-23,0.1365,10.9771,1.38,1.2435,
2019-07-18,0.1563,12.878,1.37,1.2137,4.75
2019-04-24,0.1415,14.1713,1.14,0.9985,
2019-01-30,0.0089,0.8157,1.1,1.0911,
2018-10-24,0.1748,18.1102,1.14,0.9652,
2018-07-19,0.0522,4.8432,1.13,1.0778,3.88
2018-04-26,0.0998,11.7384,0.95,0.8502,
2018-01-31,0.0946,10.9314,0.96,0.8654,
2017-10-26,0.1122,15.4163,0.84,0.7278,
2017-07-20,0.2735,38.711999999999996,0.98,0.7065,3.31
2017-04-27,0.0326,4.6745,0.73,0.6974,
2017-01-26,0.0548,6.9791,0.84,0.7852,
2016-10-20,0.0777,11.388,0.76,0.6823,
2016-07-19,0.1061,18.1709,0.69,0.5839,2.76
2016-04-21,-0.0189,-2.9582,0.62,0.6389,
2016-01-28,0.0708,9.9831,0.78,0.7092,
2015-10-22,0.08,13.5593,0.67,0.59,
2015-07-21,0.04,7.1429,0.6,0.56,2.46
2015-04-23,0.1,19.6078,0.61,0.51,
2015-01-26,0.0,0.0,0.71,0.71,
2014-10-23,0.05,10.2041,0.54,0.49,
2014-07-22,-0.05,-8.3333,0.55,0.6,2.63
2014-04-24,0.05,7.9365,0.68,0.63,
2014-01-23,0.1,14.7059,0.78,0.68,
2013-10-24,0.08,14.8148,0.62,0.54,
2013-07-18,-0.09,-12.0,0.66,0.75,2.67
2013-04-18,0.04,5.8824,0.72,0.68,
2013-01-24,0.01,1.3333,0.76,0.75,
2012-10-18,-0.03,-5.3571,0.53,0.56,
2012-07-19,0.05,8.0645,0.67,0.62,2.73
2012-04-19,0.03,5.2632,0.6,0.57,
2012-01-19,0.02,2.6316,0.78,0.76,
2011-10-20,0.0,0.0,0.68,0.68,
2011-07-21,0.11,18.9655,0.69,0.58,2.69
2011-04-28,0.05,8.9286,0.61,0.56,
2011-01-27,0.09,13.2353,0.77,0.68,
2010-10-28,0.07,12.7273,0.62,0.55,
2010-07-22,0.05,10.8696,0.51,0.46,2.1
2010-04-22,0.03,7.1429,0.45,0.42,
2010-01-28,0.15,25.4237,0.74,0.59,
2009-10-23,0.08,25.0,0.4,0.32,
2009-07-23,0.0,0.0,0.36,0.36,1.7
2009-04-23,0.0,0.0,0.39,0.39,
2009-01-22,-0.02,-4.0816,0.47,0.49,
2008-10-23,0.01,2.1277,0.48,0.47,
2008-07-17,-0.01,-2.1277,0.46,0.47,1.88
2008-04-24,0.03,6.8182,0.47,0.44,
2008-01-24,0.04,8.6957,0.5,0.46,
2007-10-25,0.06,15.3846,0.45,0.39,
2007-07-19,0.0,0.0,0.39,0.39,1.49
2007-04-26,0.03,6.5217,0.49,0.46,
2007-01-25,0.03,13.0435,0.26,0.23,
2006-10-26,0.04,12.9032,0.35,0.31,
2006-07-20,0.01,3.3333,0.31,0.3,1.27
2006-04-27,-0.01,-3.0303,0.32,0.33,
2006-01-26,0.0,0.0,0.33,0.33,
2005-10-27,0.01,3.3333,0.31,0.3,
2005-07-21,0.01,3.2258,0.32,0.31,1.3
2005-04-28,0.0,0.0,0.32,0.32,
2005-01-27,0.02,6.0606,0.35,0.33,
2004-10-21,0.01,3.3333,0.31,0.3,
2004-07-22,-0.01,-3.4483,0.28,0.29,1.26
2004-04-22,0.05,17.2414,0.34,0.29,
2004-01-22,0.04,13.3333,0.34,0.3,
2003-10-23,0.01,3.4483,0.3,0.29,
2003-07-17,-0.01,-4.1667,0.23,0.24,1.05
2003-04-15,0.03,12.5,0.27,0.24,
2003-01-16,0.04,17.3913,0.27,0.23,
2002-10-17,0.07,33.3333,0.28,0.21,
2002-07-18,0.0,0.0,0.21,0.21,0.93
2002-04-18,0.0,0.0,0.25,0.25,
2002-01-17,0.04,19.0476,0.25,0.21,
2001-10-18,0.02,10.0,0.22,0.2,
2001-07-19,0.01,4.7619,0.22,0.21,0.91
2001-04-19,0.01,4.7619,0.22,0.21,
2001-01-18,0.01,4.3478,0.24,0.23,
2000-10-18,0.02,9.5238,0.23,0.21,
2000-07-18,0.01,4.7619,0.22,0.21,0.87
2000-04-20,0.02,10.0,0.22,0.2,
2000-01-18,0.03,14.2857,0.24,0.21,
1999-10-19,0.02,11.7647,0.19,0.17,
1999-07-19,0.02,11.1111,0.2,0.18,0.71
1999-04-20,0.03,18.75,0.19,0.16,
1999-01-19,0.03,20.0,0.18,0.15,
1998-10-20,0.02,16.6667,0.14,0.12,
1998-07-16,0.01,8.3333,0.13,0.12,0.46
1998-04-22,0.01,8.3333,0.13,0.12,
1998-01-21,0.01,10.0,0.11,0.1,
1997-10-20,0.0,0.0,0.09,0.09,
1997-07-17,0.0,0.0,0.1,0.1,0.33
1997-04-17,0.02,25.0,0.1,0.08,
1997-01-17,0.01,16.6667,0.07,0.06,
1996-10-21,0.0,0.0,0.06,0.06,
1996-07-22,0.0,0.0,0.05,0.05,
