1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2021-01-20,217.7,225.79,217.2908,224.34,37777260.0,310.5865,305.9665,247.2052,219.388,219.4885,218.4744,205.435
2021-01-19,213.75,216.98,212.63,216.44,30480859.0,308.6048,304.0591,246.3013,217.5588,218.8584,218.4291,205.0868
2021-01-15,213.52,214.51,212.03,212.65,31746512.0,306.3321,302.0388,245.404,217.7242,219.0462,218.4444,204.7733
2021-01-14,215.91,217.46,212.74,213.02,29346737.0,305.9232,300.903,244.5752,218.6425,219.4999,218.3056,204.4833
2021-01-13,214.02,216.76,213.9266,216.34,20087080.0,302.9948,298.4859,243.6731,218.9804,219.7039,218.0511,204.2135
2021-01-12,216.5,217.1,213.3202,214.93,23148341.0,301.5422,296.8384,242.8378,219.6148,219.9982,217.7909,203.9264
2021-01-11,218.47,218.91,216.73,217.49,23047029.0,298.6433,294.5047,241.972,220.3333,220.2881,217.5851,203.6093
2021-01-08,218.68,220.58,217.0261,219.62,22956206.0,296.6349,292.6924,241.1574,220.74,220.4259,217.3727,203.292
2021-01-07,214.04,219.34,213.71,218.29,27694480.0,293.1874,290.284,240.3202,220.7857,220.4105,217.2431,202.9547
2021-01-06,212.17,216.4899,211.94,212.25,35930653.0,288.8511,287.7115,239.4942,221.1988,220.5175,217.1717,202.6002
2021-01-05,217.26,218.52,215.7,217.9,23822953.0,286.1817,286.2719,238.76,222.5442,220.9203,217.156,202.2151
2021-01-04,222.53,223.0,214.81,217.69,37130139.0,286.2925,286.3412,238.1264,223.6939,221.1603,217.0953,201.8523
2020-12-31,221.7,223.0,219.68,222.42,20942132.0,288.1888,287.1948,237.5308,223.8922,220.9763,216.9622,201.4822
2020-12-30,225.23,225.63,221.47,221.68,20272337.0,288.9332,287.3047,236.8708,224.1471,220.7739,216.8381,201.0915
2020-12-29,226.31,227.18,223.58,224.15,17403213.0,289.3548,287.1302,236.1833,223.7234,220.2883,216.7597,200.6951
2020-12-28,224.45,226.03,223.02,224.96,17762701.0,291.6021,287.6347,235.5299,222.7359,219.5992,216.6502,200.3001
2020-12-24,221.42,223.61,221.2,222.75,10550572.0,291.6882,286.7913,234.7796,221.7947,218.9561,216.5251,199.9732
2020-12-23,223.11,223.5589,220.8,221.02,18699638.0,290.3673,285.1161,233.9803,221.276,218.4907,216.5255,199.6166
2020-12-22,222.69,225.63,221.85,223.94,22643397.0,288.1209,282.9508,233.1631,220.6237,217.9839,216.5466,199.2811
2020-12-21,217.55,224.0,217.2801,222.59,37181886.0,285.1964,280.502,232.3469,219.1934,217.2193,216.4993,198.9518
2020-12-18,218.59,219.69,216.02,218.59,63354922.0,283.3896,278.6558,231.589,217.8201,216.5412,216.3251,198.6145
2020-12-17,219.87,220.89,217.92,219.42,32515784.0,281.3644,276.7038,230.8393,217.2858,216.2263,216.1439,198.3252
2020-12-16,214.75,220.11,214.72,219.28,35023253.0,278.6116,274.4446,230.0872,216.256,215.7599,215.9172,198.0684
2020-12-15,215.165,215.42,212.24,214.13,27018106.0,276.8173,272.7212,229.3877,215.1549,215.3249,215.7075,197.8147
2020-12-14,213.1,216.21,212.88,214.2,28798379.0,273.901,270.5148,228.6728,215.0791,215.3154,215.5961,197.6058
2020-12-11,210.05,213.32,209.11,213.26,30979440.0,272.5815,269.1759,228.0303,214.756,215.226,215.4806,197.3826
2020-12-10,211.77,213.08,210.36,210.52,26467017.0,271.6995,268.0271,227.4086,215.1663,215.4166,215.4826,197.1282
2020-12-09,215.16,215.225,211.214,211.8,32440603.0,269.9021,266.4121,226.7659,215.7624,215.6502,215.4494,196.8915
2020-12-08,213.97,216.95,212.89,216.01,23284094.0,269.2487,265.3462,226.1693,215.916,215.6928,215.3352,196.6749
2020-12-07,214.37,215.54,212.99,214.29,24619997.0,266.4407,263.2309,225.5157,215.6206,215.567,215.2364,196.4575
2020-12-04,214.22,215.38,213.18,214.36,24666039.0,264.5859,261.6933,224.9166,215.6436,215.5697,215.0953,196.2458
2020-12-03,214.61,216.3757,213.65,214.24,25120922.0,262.5181,260.1314,224.3286,215.7189,215.5887,214.8882,196.0792
