,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2021-01-21,383.03,387.21,372.03,382.81,5180798.0,311.061,307.0653,248.0636,385.7469,384.5969,404.6316,331.3942
2021-01-20,399.11,399.53,378.3187,382.8,5713892.0,310.5865,305.9665,247.2052,385.3289,384.3355,407.005,330.0841
2021-01-19,391.01,396.77,385.5101,393.87,5709437.0,308.6048,304.0591,246.3013,381.2714,382.8161,409.0014,328.7288
2021-01-15,397.71,404.44,382.0701,384.53,12799509.0,306.3321,302.0388,245.404,376.8432,381.4207,410.7648,327.4124
2021-01-14,371.0,384.95,370.5,383.24,9310967.0,305.9232,300.903,244.5752,368.9585,379.1188,411.9136,326.1132
2021-01-13,360.0,384.23,348.6512,364.63,14056546.0,302.9948,298.4859,243.6731,364.3894,378.5357,413.7546,324.9374
2021-01-12,333.2,358.9,331.1,356.81,8890435.0,301.5422,296.8384,242.8378,358.7207,377.9662,415.989,323.8247
2021-01-11,344.98,349.96,336.85,337.71,3360357.0,298.6433,294.5047,241.972,358.6695,379.8729,419.3201,322.8051
2021-01-08,345.2,350.0,340.34,349.61,5009213.0,296.6349,292.6924,241.1574,361.1579,382.8641,423.398,321.7885
2021-01-07,346.0,354.48,341.6,342.5,5601170.0,293.1874,290.284,240.3202,364.3459,386.1505,427.198,320.7835
2021-01-06,351.0,352.94,341.92,344.41,7124614.0,288.8511,287.7115,239.4942,367.1647,389.3176,430.9305,319.7861
2021-01-05,360.39,365.01,349.0,360.83,4983521.0,286.1817,286.2719,238.76,371.2289,392.9554,434.4117,318.8461
2021-01-04,340.4,363.09,339.2,359.98,8598300.0,286.2925,286.3412,238.1264,373.0058,395.7499,437.7201,317.701
2020-12-31,351.77,351.83,336.1,337.32,6559744.0,288.1888,287.1948,237.5308,375.8389,399.0159,441.4915,316.5467
2020-12-30,358.42,358.7,345.4,353.4,5474464.0,288.9332,287.3047,236.8708,382.6985,403.7345,445.9687,315.3825
2020-12-29,350.6597,359.9072,350.13,353.75,6080283.0,289.3548,287.1302,236.1833,389.5553,408.2379,450.5715,314.1582
2020-12-28,370.4,373.28,349.0197,351.39,9418598.0,291.6021,287.6347,235.5299,398.0261,413.071,454.6824,312.958
2020-12-24,383.88,384.88,375.0,375.17,3850734.0,291.6882,286.7913,234.7796,405.0965,417.0501,458.0178,311.6606
2020-12-23,402.0,402.6,378.58,383.88,9554390.0,290.3673,285.1161,233.9803,410.8726,420.2671,460.7162,310.3055
2020-12-22,408.5,413.5,396.5,409.0,4218767.0,288.1209,282.9508,233.1631,413.2362,422.0338,463.0642,308.8625
2020-12-21,418.07,427.7594,404.58,408.97,8557350.0,285.1964,280.502,232.3469,413.1608,422.8872,464.9164,307.364
2020-12-18,403.8,408.11,398.25,406.01,6174772.0,283.3896,278.6558,231.589,408.9898,422.4,466.3392,305.8077
2020-12-17,408.72,409.03,399.56,401.62,3792528.0,281.3644,276.7038,230.8393,409.2411,423.829,467.9668,304.3771
2020-12-16,400.4861,406.5579,393.46,404.0,4158539.0,278.6116,274.4446,230.0872,409.3015,425.3089,469.5362,302.9811
2020-12-15,398.505,410.32,395.08,399.43,5144653.0,276.8173,272.7212,229.3877,410.0854,427.184,471.163,301.5482
2020-12-14,388.95,396.75,376.68,395.99,6820120.0,273.901,270.5148,228.6728,410.0183,428.8704,472.8946,300.0926
2020-12-11,395.35,397.3393,384.6136,397.01,4677441.0,272.5815,269.1759,228.0303,413.8093,432.0824,475.1094,298.6814
2020-12-10,382.73,399.0,380.27,397.96,4572146.0,271.6995,268.0271,227.4086,418.515,435.5567,476.8373,297.3043
2020-12-09,406.7478,409.99,381.5,385.36,8956659.0,269.9021,266.4121,226.7659,424.0907,439.2124,478.4884,295.8993
2020-12-08,408.87,419.5,406.75,412.0,5319440.0,269.2487,265.3462,226.1693,428.1194,442.1346,480.0846,294.4059
2020-12-07,411.0,416.8,405.4538,407.85,4427276.0,266.4407,263.2309,225.5157,430.5821,444.3981,482.09,292.8674
2020-12-04,409.26,418.88,408.1861,410.01,4447314.0,264.5859,261.6933,224.9166,434.5199,447.1579,483.754,291.3334
2020-12-03,413.0,419.17,405.02,413.54,6306724.0,262.5181,260.1314,224.3286,438.9884,449.9857,485.4214,289.7604
2020-12-02,399.0,424.55,394.57,412.86,10962837.0,261.8985,259.3257,223.7993,444.6508,453.0673,487.6328,288.2183
2020-12-01,434.72,434.99,401.72,406.31,20694206.0,261.7483,258.6872,223.2839,450.3939,455.919,489.0398,286.621
2020-11-30,485.7,486.83,460.0,478.36,16646500.0,261.0835,257.7115,222.7497,454.795,458.0119,489.74,284.9367
2020-11-27,453.99,472.04,449.0,471.61,7276411.0,260.4759,256.6921,222.2189,445.6421,455.1301,488.8434,282.9611
2020-11-25,435.85,448.48,433.3301,443.72,8763739.0,258.5455,254.9933,221.6535,438.0999,453.4391,487.759,281.0606
2020-11-24,421.505,438.8323,420.01,427.55,6046794.0,257.2532,253.6296,221.1237,435.1341,453.935,487.1778,279.2657
2020-11-23,432.01,436.513,417.88,430.28,8486030.0,255.5395,252.0627,220.5927,434.0775,455.4453,486.6711,277.524
2020-11-20,418.55,445.3,415.56,439.6,12586597.0,253.6682,250.4583,220.0734,433.3817,457.3385,486.0281,275.7913
2020-11-19,408.99,427.89,407.5,414.29,8007026.0,252.6243,249.2811,219.5944,429.9764,458.5424,485.1371,274.0178
